Time	DO	OURex
min	mg/l	mg/l/min
36.3976567	8.37293376	0.0070635
36.4140633	8.37095935	0.005838
36.433855	8.37437112	0.004734
36.4604167	8.37643268	0.004398
36.4768233	8.37413101	0.00438
36.49349	8.37018778	0.003906
36.509375	8.36744082	0.002724
36.52422	8.37317803	0.001632
36.5408867	8.37604391	0.00096
36.5565117	8.37255632	-0.0001884
36.571615	8.37353732	-0.001842
36.5877617	8.3706758	-0.003654
36.602345	8.37555683	-0.005154
36.6166667	8.38391137	-0.005442
36.63073	8.38360681	-0.00522
36.6471367	8.38099825	-0.005412
36.6638033	8.38056571	-0.0061815
36.68073	8.37602958	-0.00757146
36.696875	8.37546025	-0.00935178
36.7138033	8.37935306	-0.01084338
36.7302083	8.38130185	-0.01204848
36.746875	8.38380074	-0.01310436
36.7632817	8.38149145	-0.01408542
36.78073	8.38164568	-0.01519458
36.7971367	8.3849091	-0.01600968
36.8138033	8.38271476	-0.01677558
36.83047	8.37980224	-0.01820412
36.846875	8.38473975	-0.01937142
36.8635417	8.38691945	-0.01990242
36.8802083	8.38993058	-0.02017716
36.896875	8.38999315	-0.02022372
36.9135417	8.3865962	-0.02081022
36.93073	8.38802237	-0.02203962
36.946875	8.39363848	-0.0229023
36.9630217	8.39952983	-0.02279748
36.9799483	8.39938397	-0.02247078
36.9973967	8.39095148	-0.02276814
37.0138033	8.38548271	-0.02391108
37.0299483	8.39053268	-0.02514756
37.0473967	8.3928521	-0.0258357
37.0638033	8.39086822	-0.02670126
37.08047	8.39420856	-0.0276549
37.0958333	8.40514258	-0.02749362
37.1132817	8.40842376	-0.02614962
37.1291667	8.40497721	-0.02475384
37.1458333	8.39947806	-0.0241251
37.1632817	8.39552464	-0.02439288
37.1799483	8.39589734	-0.02500998
37.1973967	8.40010377	-0.02530206
37.2135417	8.40204212	-0.02507754
37.2296883	8.40525399	-0.02422932
37.2471367	8.40818159	-0.02297352
37.2627617	8.40567603	-0.02204184
37.2796883	8.40497902	-0.02136924
37.296875	8.40930612	-0.0204525
37.3140633	8.40672484	-0.01966614
37.3299483	8.40428175	-0.0191589
37.346095	8.40468225	-0.01885542
37.3635417	8.40792472	-0.01832286
37.3802083	8.41365694	-0.01692174
37.396875	8.40719548	-0.01560714
37.4138033	8.40924042	-0.01476816
37.4299483	8.41172172	-0.01401024
37.4479167	8.40916556	-0.01352556
37.4645833	8.41508858	-0.01253316
37.48073	8.41961656	-0.01083732
37.496355	8.41620428	-0.00941316
37.5132817	8.41644019	-0.00850404
37.53047	8.41775983	-0.00746238
37.5471367	8.41531575	-0.00623766
37.5635417	8.42343215	-0.004578
37.5791667	8.42471132	-0.00255
37.5955733	8.42122199	-0.00081
37.6132817	8.42678065	0.001176
37.6289067	8.42251582	0.0033
37.646615	8.41523169	0.004512
37.6632817	8.41048634	0.004662
37.6796883	8.41527668	0.00477
37.6971367	8.41785067	0.005466
37.7135417	8.41677688	0.00640512
37.7296883	8.41589828	0.0074757
37.7473967	8.41440479	0.00852228
37.7638033	8.41227784	0.00915696
37.7794283	8.40976049	0.00911688
37.796615	8.4144589	0.0089385
37.8140633	8.41699862	0.0094515
37.83073	8.41235898	0.00998574
37.8471367	8.41270696	0.00987816
37.8625	8.41875827	0.00999108
37.8799483	8.41601235	0.01053108
37.8971367	8.41933012	0.01124112
37.9132817	8.41544148	0.0117441
37.93073	8.41016557	0.01140198
37.9458333	8.4144931	0.01094598
37.9630217	8.41274811	0.01090614
37.9799483	8.4193822	0.0112659
37.9971367	8.41902703	0.0118395
38.0130217	8.4117145	0.01176438
38.0294283	8.41668802	0.01152744
38.0473967	8.41951929	0.01194318
38.0645833	8.41554102	0.01248684
38.08125	8.41258712	0.0125361
38.0979167	8.41646845	0.01228452
38.1145833	8.41988807	0.01214976
38.13047	8.42194001	0.0123306
38.1479167	8.42155408	0.01275774
38.1645833	8.41863619	0.01287384
38.18047	8.41546782	0.01240446
38.196875	8.41406265	0.01182114
38.2127617	8.41709254	0.01173018
38.23047	8.41548066	0.01167252
38.246875	8.41970022	0.01138056
38.2635417	8.41848482	0.01123362
38.2802083	8.41388103	0.01081758
38.296875	8.41252057	0.01006974
38.3127617	8.41609383	0.00957408
38.3294283	8.42262292	0.00975048
38.346875	8.41803279	0.01003176
38.3638033	8.41134029	0.00936156
38.3799483	8.41686552	0.00866778
38.396615	8.42246538	0.00915882
38.4135417	8.42051618	0.00989856
38.43099	8.41736458	0.00985938
38.446875	8.41799147	0.00941076
38.4635417	8.4200375	0.00917208
38.48073	8.42121986	0.009507
